"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"94","Afghanistan",2021-03-17,"Asia",39074280,"Oxford/AstraZeneca",0.15,0,1
"95","Afghanistan",2021-03-18,"Asia",39074280,"Oxford/AstraZeneca",0.15,0,1
"96","Afghanistan",2021-03-19,"Asia",39074280,"Oxford/AstraZeneca",0.16,0,1
"97","Afghanistan",2021-03-20,"Asia",39074280,"Oxford/AstraZeneca",0.17,2,2
"98","Afghanistan",2021-03-21,"Asia",39074280,"Oxford/AstraZeneca",0.18,0,1
"99","Afghanistan",2021-03-22,"Asia",39074280,"Oxford/AstraZeneca",0.18,0,1
"100","Afghanistan",2021-03-23,"Asia",39074280,"Oxford/AstraZeneca",0.19,0,1
"101","Afghanistan",2021-03-24,"Asia",39074280,"Oxford/AstraZeneca",0.2,0,1
"102","Afghanistan",2021-03-25,"Asia",39074280,"Oxford/AstraZeneca",0.21,0,1
"103","Afghanistan",2021-03-26,"Asia",39074280,"Oxford/AstraZeneca",0.21,0,1
"104","Afghanistan",2021-03-27,"Asia",39074280,"Oxford/AstraZeneca",0.22,0,1
"105","Afghanistan",2021-03-28,"Asia",39074280,"Oxford/AstraZeneca",0.23,0,1
"106","Afghanistan",2021-03-29,"Asia",39074280,"Oxford/AstraZeneca",0.24,0,1
"107","Afghanistan",2021-03-30,"Asia",39074280,"Oxford/AstraZeneca",0.24,0,1
"108","Afghanistan",2021-03-31,"Asia",39074280,"Oxford/AstraZeneca",0.25,0,1
"109","Afghanistan",2021-04-01,"Asia",39074280,"Oxford/AstraZeneca",0.26,0,1
"110","Afghanistan",2021-04-02,"Asia",39074280,"Oxford/AstraZeneca",0.27,0,1
"111","Afghanistan",2021-04-03,"Asia",39074280,"Oxford/AstraZeneca",0.28,0,1
"112","Afghanistan",2021-04-04,"Asia",39074280,"Oxford/AstraZeneca",0.28,0,1
"113","Afghanistan",2021-04-05,"Asia",39074280,"Oxford/AstraZeneca",0.29,2,1
"114","Afghanistan",2021-04-06,"Asia",39074280,"Oxford/AstraZeneca",0.3,0,1
"115","Afghanistan",2021-04-07,"Asia",39074280,"Oxford/AstraZeneca",0.31,0,1
"116","Afghanistan",2021-04-08,"Asia",39074280,"Oxford/AstraZeneca",0.32,0,1
"117","Afghanistan",2021-04-09,"Asia",39074280,"Oxford/AstraZeneca",0.33,0,1
"118","Afghanistan",2021-04-10,"Asia",39074280,"Oxford/AstraZeneca",0.34,0,1
"119","Afghanistan",2021-04-11,"Asia",39074280,"Oxford/AstraZeneca",0.36,0,1
"120","Afghanistan",2021-04-12,"Asia",39074280,"Oxford/AstraZeneca",0.37,0,1
"121","Afghanistan",2021-04-13,"Asia",39074280,"Oxford/AstraZeneca",0.39,0,1
"122","Afghanistan",2021-04-14,"Asia",39074280,"Oxford/AstraZeneca",0.41,0,1
"123","Afghanistan",2021-04-15,"Asia",39074280,"Oxford/AstraZeneca",0.43,0,1
"124","Afghanistan",2021-04-16,"Asia",39074280,"Oxford/AstraZeneca",0.45,0,1
"125","Afghanistan",2021-04-17,"Asia",39074280,"Oxford/AstraZeneca",0.47,0,1
"126","Afghanistan",2021-04-18,"Asia",39074280,"Oxford/AstraZeneca",0.49,0,1
"127","Afghanistan",2021-04-19,"Asia",39074280,"Oxford/AstraZeneca",0.51,0,1
"128","Afghanistan",2021-04-20,"Asia",39074280,"Oxford/AstraZeneca",0.53,0,1
"129","Afghanistan",2021-04-21,"Asia",39074280,"Oxford/AstraZeneca",0.56,0,1
"130","Afghanistan",2021-04-22,"Asia",39074280,"Oxford/AstraZeneca",0.61,0,1
"131","Albania",2020-12-14,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"132","Albania",2020-12-15,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"133","Albania",2020-12-16,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"134","Albania",2020-12-17,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"135","Albania",2020-12-18,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"136","Albania",2020-12-19,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"137","Albania",2020-12-20,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"138","Albania",2020-12-21,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"139","Albania",2020-12-22,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"140","Albania",2020-12-23,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"141","Albania",2020-12-24,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"142","Albania",2020-12-25,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"143","Albania",2020-12-26,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"144","Albania",2020-12-27,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"145","Albania",2020-12-28,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"146","Albania",2020-12-29,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"147","Albania",2020-12-30,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"148","Albania",2020-12-31,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"149","Albania",2021-01-01,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"150","Albania",2021-01-02,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"151","Albania",2021-01-03,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"152","Albania",2021-01-04,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"153","Albania",2021-01-05,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"154","Albania",2021-01-06,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"155","Albania",2021-01-07,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"156","Albania",2021-01-08,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"157","Albania",2021-01-09,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"158","Albania",2021-01-10,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"159","Albania",2021-01-11,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"160","Albania",2021-01-12,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0,0,1
"161","Albania",2021-01-13,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.01,1.96428571428571,1
"162","Albania",2021-01-14,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.01,0,1
"163","Albania",2021-01-15,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.01,0,1
"164","Albania",2021-01-16,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.01,0,1
"165","Albania",2021-01-17,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.01,0,1
"166","Albania",2021-01-18,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"167","Albania",2021-01-19,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"168","Albania",2021-01-20,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"169","Albania",2021-01-21,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"170","Albania",2021-01-22,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"171","Albania",2021-01-23,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"172","Albania",2021-01-24,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"173","Albania",2021-01-25,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"174","Albania",2021-01-26,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"175","Albania",2021-01-27,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"176","Albania",2021-01-28,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"177","Albania",2021-01-29,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"178","Albania",2021-01-30,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"179","Albania",2021-01-31,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"180","Albania",2021-02-01,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"181","Albania",2021-02-02,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"182","Albania",2021-02-03,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"183","Albania",2021-02-04,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"184","Albania",2021-02-05,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"185","Albania",2021-02-06,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.02,0,1
"186","Albania",2021-02-07,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.03,0,1
"187","Albania",2021-02-08,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.03,0,1
"188","Albania",2021-02-09,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.04,0,1
"189","Albania",2021-02-10,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.04,0,1
"190","Albania",2021-02-11,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.04,0,1
"191","Albania",2021-02-12,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.05,0,1
"192","Albania",2021-02-13,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.05,0,1
